year,country_code,country_name,biome,tree_cover_loss_ha,tree_cover_gain_ha,net_change_ha,primary_forest_loss_ha,carbon_emissions_mt_co2
2015,BRA,Brazil,Amazon,1284000,320000,-964000,987000,2.41
2015,IDN,Indonesia,Tropical,684000,180000,-504000,512000,1.28
2015,COD,Congo DRC,Congo Basin,480000,95000,-385000,360000,0.89
2015,BOL,Bolivia,Amazon,290000,72000,-218000,198000,0.51
2015,PNG,Papua New Guinea,Tropical,195000,48000,-147000,142000,0.38
2016,BRA,Brazil,Amazon,1376000,335000,-1041000,1054000,2.58
2016,IDN,Indonesia,Tropical,712000,188000,-524000,534000,1.33
2016,COD,Congo DRC,Congo Basin,510000,102000,-408000,382000,0.94
2016,BOL,Bolivia,Amazon,312000,78000,-234000,214000,0.55
2016,PNG,Papua New Guinea,Tropical,208000,51000,-157000,152000,0.41
2017,BRA,Brazil,Amazon,1158000,298000,-860000,887000,2.17
2017,IDN,Indonesia,Tropical,658000,172000,-486000,493000,1.22
2017,COD,Congo DRC,Congo Basin,524000,108000,-416000,392000,0.97
2017,BOL,Bolivia,Amazon,278000,68000,-210000,189000,0.48
2017,PNG,Papua New Guinea,Tropical,187000,46000,-141000,136000,0.36
2018,BRA,Brazil,Amazon,1342000,318000,-1024000,1028000,2.47
2018,IDN,Indonesia,Tropical,640000,165000,-475000,480000,1.19
2018,COD,Congo DRC,Congo Basin,548000,114000,-434000,410000,1.01
2018,BOL,Bolivia,Amazon,295000,74000,-221000,202000,0.52
2018,PNG,Papua New Guinea,Tropical,198000,49000,-149000,144000,0.39
2019,BRA,Brazil,Amazon,1698000,402000,-1296000,1302000,3.12
2019,IDN,Indonesia,Tropical,598000,154000,-444000,448000,1.11
2019,COD,Congo DRC,Congo Basin,572000,120000,-452000,428000,1.06
2019,BOL,Bolivia,Amazon,384000,92000,-292000,264000,0.68
2019,PNG,Papua New Guinea,Tropical,212000,53000,-159000,154000,0.41
2020,BRA,Brazil,Amazon,1584000,378000,-1206000,1214000,2.91
2020,IDN,Indonesia,Tropical,572000,148000,-424000,428000,1.06
2020,COD,Congo DRC,Congo Basin,596000,126000,-470000,446000,1.10
2020,BOL,Bolivia,Amazon,342000,84000,-258000,234000,0.60
2020,PNG,Papua New Guinea,Tropical,204000,51000,-153000,148000,0.40
2021,BRA,Brazil,Amazon,1512000,362000,-1150000,1158000,2.78
2021,IDN,Indonesia,Tropical,548000,142000,-406000,410000,1.01
2021,COD,Congo DRC,Congo Basin,618000,132000,-486000,462000,1.14
2021,BOL,Bolivia,Amazon,328000,80000,-248000,224000,0.57
2021,PNG,Papua New Guinea,Tropical,196000,49000,-147000,142000,0.38
2022,BRA,Brazil,Amazon,1124000,284000,-840000,862000,2.06
2022,IDN,Indonesia,Tropical,524000,136000,-388000,392000,0.97
2022,COD,Congo DRC,Congo Basin,634000,138000,-496000,474000,1.17
2022,BOL,Bolivia,Amazon,298000,74000,-224000,204000,0.52
2022,PNG,Papua New Guinea,Tropical,188000,47000,-141000,136000,0.36
2023,BRA,Brazil,Amazon,1048000,268000,-780000,804000,1.92
2023,IDN,Indonesia,Tropical,498000,130000,-368000,372000,0.92
2023,COD,Congo DRC,Congo Basin,648000,144000,-504000,484000,1.19
2023,BOL,Bolivia,Amazon,274000,68000,-206000,188000,0.48
2023,PNG,Papua New Guinea,Tropical,178000,45000,-133000,129000,0.34
