year,country_code,country_name,hdi,hdi_rank,life_expectancy,mean_years_schooling,gni_per_capita_ppp,gender_inequality_index,multidimensional_poverty_index,community_resilience_score
2015,NOR,Norway,0.944,1,82.3,12.7,68012,0.053,,0.91
2015,CHE,Switzerland,0.939,2,83.1,13.4,59375,0.028,,0.89
2015,AUS,Australia,0.935,3,82.5,13.2,44933,0.097,,0.87
2015,DEU,Germany,0.926,4,81.0,14.1,46136,0.066,,0.86
2015,BRA,Brazil,0.754,75,75.0,7.8,14145,0.414,0.056,0.62
2015,IDN,Indonesia,0.689,110,69.1,7.9,10570,0.467,0.024,0.54
2015,IND,India,0.624,130,68.3,6.3,6427,0.530,0.282,0.48
2015,ETH,Ethiopia,0.448,174,65.5,2.7,1719,0.558,0.489,0.31
2015,NER,Niger,0.353,188,61.4,2.0,906,0.713,0.605,0.22
2018,NOR,Norway,0.954,1,82.5,12.9,68059,0.048,,0.93
2018,CHE,Switzerland,0.946,2,83.6,13.6,60124,0.025,,0.91
2018,AUS,Australia,0.938,6,83.3,13.0,44097,0.085,,0.88
2018,DEU,Germany,0.936,4,81.2,14.2,46946,0.058,,0.87
2018,BRA,Brazil,0.761,79,75.7,7.8,14068,0.390,0.048,0.64
2018,IDN,Indonesia,0.707,111,71.5,8.0,11459,0.451,0.014,0.57
2018,IND,India,0.647,129,69.4,6.5,6829,0.501,0.254,0.51
2018,ETH,Ethiopia,0.470,173,66.6,2.9,1782,0.530,0.462,0.34
2018,NER,Niger,0.377,189,62.1,2.1,993,0.695,0.587,0.24
2021,NOR,Norway,0.961,1,83.2,13.0,66494,0.045,,0.94
2021,CHE,Switzerland,0.962,1,83.8,13.9,66933,0.018,,0.93
2021,AUS,Australia,0.951,5,83.4,12.9,49238,0.073,,0.90
2021,DEU,Germany,0.942,9,81.8,14.1,54534,0.041,,0.89
2021,BRA,Brazil,0.754,87,72.8,8.0,13848,0.374,0.044,0.63
2021,IDN,Indonesia,0.705,114,67.6,8.2,11459,0.447,0.014,0.56
2021,IND,India,0.633,132,67.2,6.7,6590,0.490,0.266,0.50
2021,ETH,Ethiopia,0.498,175,67.8,3.1,2207,0.520,0.441,0.36
2021,NER,Niger,0.400,191,62.4,2.3,1201,0.680,0.565,0.26
2023,NOR,Norway,0.966,1,83.5,13.1,82500,0.041,,0.95
2023,CHE,Switzerland,0.967,1,84.0,14.0,72850,0.016,,0.94
2023,AUS,Australia,0.955,3,83.8,13.1,52085,0.068,,0.91
2023,DEU,Germany,0.950,7,81.9,14.2,57867,0.038,,0.90
2023,BRA,Brazil,0.760,89,73.4,8.1,14103,0.362,0.040,0.65
2023,IDN,Indonesia,0.713,112,68.4,8.4,12301,0.432,0.011,0.58
2023,IND,India,0.644,134,67.7,6.9,7057,0.475,0.248,0.52
2023,ETH,Ethiopia,0.508,176,68.7,3.3,2412,0.508,0.418,0.38
2023,NER,Niger,0.394,189,63.1,2.4,1284,0.668,0.542,0.27
